18151,-5624.5505
22927,-3272.3238
1032,-1699.8028
1032,-1699.8028
3491,-1587.7378
24882,-1400.6853
24882,-1236.1204
14097,-1223.5655
24340,-1165.2756
23149,-1122.7254
24340,-1060.6167
3518,-1028.0228
21435,-1002.2767
23796,-914.7524
23337,-874.3427
5167,-836.7245
16279,-822.6788
1068,-776.2473
1068,-776.2473
22903,-757.4575
4314,-754.3015
4310,-747.8301
23796,-721.7052
74958,-704.7846
4346,-692.4589
108771,-660.346
4313,-648.2899
3877,-631.6828
839,-600.7317
45563,-587.1841
45600,-582.5233
35222,-582.1739
4501,-580.6858
22864,-566.5654
2637,-566.1566
88,-562.6749
797,-555.671
35224,-549.8477
4315,-549.3074
798,-548.9517
15505,-547.779
6112,-542.5557
23020,-535.8541
36811,-533.188
2855,-532.6325
33368,-531.5202
22198,-531.4308
35218,-529.5595
5762,-525.7995
3435,-524.8905
41623,-523.9293
43763,-518.4593
37546,-515.7703
1075,-511.6061
1075,-511.6061
118937,-509.5092
23208,-509.4901
72737,-504.7713
74464,-502.7928
66584,-501.556
4700,-500.8573
4312,-497.4574
34598,-495.4915
74231,-492.1462
941,-490.0725
33370,-488.9827
65197,-488.5722
10705,-488.4609
77566,-488.1919
22470,-488.169
39172,-487.85
125959,-487.1074
36349,-484.2494
35220,-483.5533
374,-482.9291
2638,-482.6349
14120,-482.5724
377,-481.8595
2164,-481.0815
5679,-479.1458
3842,-476.0781
63462,-474.1701
40623,-472.2967
48361,-471.3295
23447,-470.3289
82891,-465.8307
34193,-462.62
33939,-462.3818
5491,-460.585
27026,-459.1784
74453,-458.3609
73425,-457.6434
265,-456.2038
43644,-455.4492
105762,-454.651
122584,-454.6194
4386,-452.5995
2196,-451.1524
14255,-451.0616
23776,-450.7075
43484,-450.6208
23447,-449.216
29552,-445.9674
4311,-445.3478
25453,-445.0661
82,-443.8997
16344,-443.3381
23160,-443.2265
5449,-443.0483
47262,-442.5673
44240,-441.0749
83014,-440.9337
35266,-439.8402
47804,-439.666
41560,-439.1259
30212,-438.9595
10706,-438.3836
83059,-438.2122
12596,-437.5874
23208,-437.563
14193,-435.8503
1089,-434.9884
706,-434.1884
2300,-434.1686
46147,-433.5179
74411,-433.4269
47161,-432.3868
77908,-432.2294
10266,-431.5822
74408,-431.2991
46877,-430.6134
23753,-430.112
34411,-429.9967
3940,-428.9815
4334,-426.9308
43674,-426.7608
65100,-425.9786
5070,-425.6406
20352,-424.645
36495,-424.1164
34348,-423.488
49669,-422.9704
48189,-422.5289
572,-421.4058
30615,-420.474
721,-420.1727
1122,-419.6346
1094,-419.49
158,-419.162
44230,-419.1447
82872,-418.7654
3370,-418.1697
63534,-418.1344
8339,-417.8812
26361,-416.8138
73,-416.5841
29122,-416.3121
13545,-415.7255
64849,-415.4591
35000,-414.6556
25006,-414.4132
4999,-414.2423
177,-414.2182
29517,-413.5137
92,-413.3628
14253,-412.7365
20633,-412.5165
20742,-412.3095
2636,-411.6838
101,-411.4691
17584,-411.3821
45602,-410.5072
24184,-410.1338
34992,-410.008
9933,-409.6259
571,-408.8058
53,-408.656
30218,-408.4971
23404,-407.9774
36493,-407.568
43658,-406.8227
50230,-406.5046
8688,-406.2194
24292,-405.9204
23751,-405.9161
45430,-405.132
63526,-404.9297
1823,-404.8071
7860,-404.2323
900,-403.0453
12584,-403.0011
5490,-402.5793
126580,-402.2467
39242,-400.8215
10544,-400.3824
17140,-400.3744
2203,-399.6618
32082,-399.4971
36450,-399.3212
43656,-399.1795
2144,-399.1358
724,-398.914
126578,-398.9038
14902,-398.8566
5122,-398.761
22166,-398.7517
22847,-398.5074
23753,-398.1864
6006,-397.7557
30947,-397.7312
2296,-397.7014
35402,-397.6225
32088,-397.0207
48767,-396.9662
38187,-396.2768
24408,-395.8962
34985,-395.7426
121981,-395.3686
45515,-393.7046
593,-393.6923
14970,-393.2084
26991,-393.0029
39137,-392.973
738,-392.4368
38662,-392.409
2641,-392.226
24184,-391.9135
931,-391.5461
4218,-391.2183
4502,-390.8774
1503,-390.4516
74478,-389.8167
10309,-389.779
26349,-389.4863
43952,-389.1227
2987,-389.013
263,-388.7389
4966,-388.6898
65104,-388.5682
22081,-388.175
48787,-388.0158
1079,-387.5131
1038,-387.2834
1038,-387.2834
622,-387.2713
4854,-386.2012
14245,-385.0884
122863,-384.5308
22885,-384.442
47400,-383.5374
121773,-383.5316
121466,-383.4024
3429,-383.3554
27479,-383.3515
44487,-382.6361
